9;Tab
a;NewLine
21;excl
22;quot,QUOT
23;num
24;dollar
25;percnt
26;amp,AMP
27;apos
28;lpar
29;rpar
2a;ast,midast
2b;plus
2c;comma
2e;period
2f;sol
3a;colon
3b;semi
3c;lt,LT
3d;equals
3e;gt,GT
3f;quest
40;commat
5b;lsqb,lbrack
5c;bsol
5d;rsqb,rbrack
5e;Hat
5f;lowbar
60;grave,DiacriticalGrave
7b;lcub,lbrace
7c;verbar,vert,VerticalLine
7d;rcub,rbrace
a0;nbsp,NonBreakingSpace
a1;iexcl
a2;cent
a3;pound
a4;curren
a5;yen
a6;brvbar
a7;sect
a8;Dot,die,DoubleDot,uml
a9;copy,COPY
aa;ordf
ab;laquo
ac;not
ad;shy
ae;reg,circledR,REG
af;macr,OverBar,strns
b0;deg
b1;plusmn,pm,PlusMinus
b2;sup
b3;sup
b4;acute,DiacriticalAcute
b5;micro
b6;para
b7;middot,centerdot,CenterDot
b8;cedil,Cedilla
b9;sup
ba;ordm
bb;raquo
bc;frac
bd;frac,half
be;frac
bf;iquest
c0;Agrave
c1;Aacute
c2;Acirc
c3;Atilde
c4;Auml
c5;Aring
c6;AElig
c7;Ccedil
c8;Egrave
c9;Eacute
ca;Ecirc
cb;Euml
cc;Igrave
cd;Iacute
ce;Icirc
cf;Iuml
d0;ETH
d1;Ntilde
d2;Ograve
d3;Oacute
d4;Ocirc
d5;Otilde
d6;Ouml
d7;times
d8;Oslash
d9;Ugrave
da;Uacute
db;Ucirc
dc;Uuml
dd;Yacute
de;THORN
df;szlig
e0;agrave
e1;aacute
e2;acirc
e3;atilde
e4;auml
e5;aring
e6;aelig
e7;ccedil
e8;egrave
e9;eacute
ea;ecirc
eb;euml
ec;igrave
ed;iacute
ee;icirc
ef;iuml
f0;eth
f1;ntilde
f2;ograve
f3;oacute
f4;ocirc
f5;otilde
f6;ouml
f7;divide,div
f8;oslash
f9;ugrave
fa;uacute
fb;ucirc
fc;uuml
fd;yacute
fe;thorn
ff;yuml
100;Amacr
101;amacr
102;Abreve
103;abreve
104;Aogon
105;aogon
106;Cacute
107;cacute
108;Ccirc
109;ccirc
10a;Cdot
10b;cdot
10c;Ccaron
10d;ccaron
10e;Dcaron
10f;dcaron
110;Dstrok
111;dstrok
112;Emacr
113;emacr
116;Edot
117;edot
118;Eogon
119;eogon
11a;Ecaron
11b;ecaron
11c;Gcirc
11d;gcirc
11e;Gbreve
11f;gbreve
120;Gdot
121;gdot
122;Gcedil
124;Hcirc
125;hcirc
126;Hstrok
127;hstrok
128;Itilde
129;itilde
